id,locationId,RoadName,RoadNumber,RoadType
dd0893c6-8520-5fc0-a725-af4d886e4a4a,e982fdd2-7bc7-59ff-b7e3-658fd39916f3,St Ninians Rd,B8051,B-Road
494b4237-de2f-5686-8376-528493be8387,362cdedf-c3d0-5b38-95a7-ea39fa2bb2ab,Castlehill Rd,B7071,B-Road
7881f719-c490-5dfc-958e-59e453ff4b88,362cdedf-c3d0-5b38-95a7-ea39fa2bb2ab,Whitletts Rd,A73,A-Road
ead9eed6-1696-5e34-ad90-bbca83f99d1c,362cdedf-c3d0-5b38-95a7-ea39fa2bb2ab,Prestwick Rd,A79,A-Road
7219b217-1471-5d88-bd44-1018323f12f9,362cdedf-c3d0-5b38-95a7-ea39fa2bb2ab,Carrick Rd,A79,A-Road
da99ef3a-b6ee-56c1-bb4f-3aead969480c,e982fdd2-7bc7-59ff-b7e3-658fd39916f3,Causewayhead Rd,A9,A-Road
1bfc4164-ad16-5bb7-a047-a61ee6e54156,b9da749d-bf95-5495-a475-210896aa720e,Innerleithen Rd,A72,A-Road
cbdcfa0f-39c3-5a26-b1c9-c6c97939be7e,92373ed5-8f39-5244-b279-a9b4894289ee,Tweedbank Drive,,Other
f46d0d9c-cf2f-5d6c-9faa-49567ee80ae9,9b8d95cb-1ca2-5975-b6a1-1939b7f17460,Duke St,,Other
b6d18595-5700-5ef4-9c53-bed73e7212e6,e982fdd2-7bc7-59ff-b7e3-658fd39916f3,Broom Rd,,Other
ee4001e6-1bc5-572d-83b6-f2a5ba8391b7,e982fdd2-7bc7-59ff-b7e3-658fd39916f3,Forthside Way,,Other
77d77e01-d18d-55a1-a2c3-938f10ccb9d6,9e339298-e78a-595d-9741-afe7233c5633,Hyndford Rd,A749,A-Road
ed7a27ba-d2d5-5443-a93b-74578baedb8f,9e339298-e78a-595d-9741-afe7233c5633,Braxfield Rd,,Other
2935d57e-b108-517f-bd7b-25d504dcdaa0,9e339298-e78a-595d-9741-afe7233c5633,Unnamed Rd/ St Patrick's Rd,,Other
54126ed9-765d-5d31-ab3d-d1d8131aee29,9e339298-e78a-595d-9741-afe7233c5633,Claghorn Rd,,Other
558b33f2-e59f-59bd-8f2f-7b6cbbe12d20,9e339298-e78a-595d-9741-afe7233c5633,Rhyber Avenue,,Other
db8c1953-da6e-5140-8459-381f2b51d3a6,9e339298-e78a-595d-9741-afe7233c5633,Smyllum Rd,,Minor
